File;IP_Locale_Privato;IP_Locale_Pubblico_Rilevato;IP_Interlocutore_Remoto_Server;IP_XOR_PEER_ADDRESS;Riassunto_Flusso_STUN
stun-ice-testcall.pcap;192.168.43.155;Non Trovato;74.125.141.127;Non Trovato;[Pkt 1] Sconosciuto(N/D) () | [Pkt 2] Sconosciuto(N/D) () | [Pkt 3] Sconosciuto(N/D) () | [Pkt 4] Sconosciuto(N/D) () | [Pkt 5] Sconosciuto(N/D) () | [Pkt 6] Sconosciuto(N/D) () | [Pkt 99] Sconosciuto(N/D) () | [Pkt 100] Sconosciuto(N/D) ()
stun-ice-testcall.pcap;192.168.43.155;Non Trovato;155.212.214.188;Non Trovato;
